POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,Price in Cr INR
1,LasithMalinga,122,122,471.1,"3,366",170,0,19.8,7.14,16.62,6,1,11.25
2,Amit Mishra,147,147,516.5,"3,799",157,0,24.19,7.35,19.75,3,1,15.43
3,Harbhajan Singh,160,157,562.2,"3,967",150,0,26.44,7.05,22.49,1,1,7.89
4,Piyush Chawla,157,156,520.4,"4,072",150,0,27.14,7.82,20.82,2,0,14.76
5,Dwayne Bravo,134,131,431,"3,617",147,0,24.6,8.39,17.59,2,0,9.34
6,Bhuvneshwar Kumar,117,117,435.2,"3,154",133,0,23.71,7.24,19.63,2,1,12.65
7,Ravichandran Ashwin,139,136,487.2,"3,310",125,0,26.48,6.79,23.39,1,0,13.78
8,Sunil Narine,110,109,426.2,"2,845",122,0,23.31,6.67,20.96,6,1,10.22
9,Umesh Yadav,119,118,413.2,"3,496",119,0,29.37,8.45,20.84,2,0,6.77
10,Ravindra Jadeja,170,142,415.5,"3,152",108,0,29.18,7.57,23.1,3,1,16.93
11,Ashish Nehra,88,88,318,"2,495",106,0,23.53,7.84,18,1,0,11.46
12,Vinay Kumar,105,104,353.3,"2,966",105,0,28.24,8.39,20.2,1,0,8.91
13,Zaheer Khan,100,99,366.4,"2,782",102,0,27.27,7.58,21.56,1,0,11.88
14,Yuzvendra Chahal,84,83,297.5,"2,318",100,0,23.18,7.78,17.87,2,0,17.14
15,Dale Steyn,92,92,351,"2,375",96,0,24.73,6.76,21.93,0,0,9.57
16,Sandeep Sharma,79,79,290.5,"2,272",95,0,23.91,7.81,18.36,2,0,11.23
17,Shane Watson,134,105,338.1,"2,682",92,0,29.15,7.93,22.05,1,0,15.78
18,Mohit Sharma,85,85,288.2,"2,425",91,0,26.64,8.41,19.01,1,0,7.65
19,Praveen Kumar,119,119,420.4,"3,251",90,0,36.12,7.72,28.04,0,0,10.39
20,RP Singh,82,82,295.5,"2,338",90,0,25.97,7.9,19.72,2,0,8.65
21,Pragyan Ojha,92,90,316.3,"2,332",89,0,26.2,7.36,21.33,0,0,12.46
22,Dhawal Kulkarni,90,90,290.5,"2,404",86,0,27.95,8.26,20.29,1,0,14.57
23,Albie Morkel,91,87,287.1,"2,355",85,0,27.7,8.2,20.27,1,0,9.78
24,Jasprit Bumrah,77,77,288.4,"2,181",82,0,26.59,7.55,21.12,0,0,15.92
25,Irfan Pathan,103,101,340.3,"2,649",80,0,33.11,7.77,25.53,0,0,17.11
26,Imran Tahir,55,55,204.2,"1,611",79,0,20.39,7.88,15.51,3,0,7.24
27,Morne Morkel,70,70,271.3,"2,089",77,0,27.12,7.69,21.15,1,0,11.57
28,Jaydev Unadkat,73,72,251,"2,192",77,0,28.46,8.73,19.55,0,2,9.36
29,Lakshmipathy Balaji,73,73,251.5,"2,028",76,0,26.68,8.05,19.88,3,1,10.89
30,Munaf Patel,63,63,225.5,"1,698",74,0,22.94,7.51,18.31,2,1,7.98
31,Ishant Sharma,89,89,318.5,"2,580",72,0,35.83,8.09,26.56,0,1,16.25
32,Rajat Bhatia,95,91,272.4,"2,020",71,0,28.45,7.4,23.04,1,0,9.55
33,Axar Patel,82,81,285.3,"2,129",71,0,29.98,7.45,24.12,1,0,13.45
34,Mitchell McClenaghan,56,56,212.2,"1,803",71,0,25.39,8.49,17.94,1,0,16.54
35,Chris Morris,61,61,214,"1,709",69,0,24.76,7.98,18.6,2,0,14.76
36,Ashok Dinda,78,75,251.4,"2,071",68,0,30.45,8.22,22.2,1,0,9.45
37,Siddharth Trivedi,76,75,251,"1,904",65,0,29.29,7.58,23.16,1,0,12.67
38,Jacques Kallis,98,89,290.2,"2,293",65,0,35.27,7.89,26.8,0,0,15.88
39,Muttiah Muralitharan,66,66,254,"1,696",63,0,26.92,6.67,24.19,0,0,10.76
40,Mitchell Johnson,54,54,205.2,"1,702",61,0,27.9,8.28,20.19,0,0,14.23
41,Shakib Al Hasan,63,62,221.2,"1,652",59,0,28,7.46,22.5,0,0,12.57
42,James Faulkner,60,60,204.3,"1,778",59,0,30.13,8.69,20.79,0,2,15.67
43,Shane Warne,55,54,199,"1,447",57,0,25.38,7.27,20.94,1,0,10.78
44,Kieron Pollard,148,81,199.5,"1,770",56,0,31.6,8.85,21.41,1,0,11.89
45,Rashid Khan,46,46,182,"1,193",55,0,21.69,6.55,19.85,0,0,17.35
46,Andre Russell,64,61,173.1,"1,538",55,0,27.96,8.88,18.89,1,0,13.79
47,Karn Sharma,62,61,184.4,"1,445",54,0,26.75,7.82,20.51,2,0,16.56
48,Siddarth Kaul,45,45,163.3,"1,385",49,0,28.26,8.47,20.02,1,0,9.78
49,Shadab Jakati,59,57,180.5,"1,450",47,0,30.85,8.01,23.08,2,0,14.67
50,Anil Kumble,42,42,160.5,"1,058",45,0,23.51,6.57,21.44,2,1,12.35
51,Ryan Harris,37,37,138.4,"1,047",45,0,23.26,7.55,18.48,1,0,8.96
52,Sreenath Aravind,38,38,126.4,"1,039",45,0,23.08,8.2,16.88,2,0,11.25
53,Harshal Patel,43,41,139.2,"1,215",43,0,28.25,8.72,19.44,0,0,9.87
54,Yusuf Pathan,174,82,191.1,"1,415",42,0,33.69,7.4,27.3,0,0,10.54
55,Shahbaz Nadeem,64,62,209.5,"1,570",42,0,37.38,7.48,29.97,0,0,14.32
56,Varun Aaron,47,45,152.4,"1,335",42,0,31.78,8.74,21.8,0,0,11.96
57,Hardik Pandya,66,60,144.5,"1,313",42,0,31.26,9.06,20.69,0,0,13.78
58,Rahul Sharma,44,44,154.4,"1,086",40,0,27.15,7.02,23.2,0,0,16.45
59,Krunal Pandya,55,53,157.2,"1,128",40,0,28.2,7.16,23.6,0,0,9.87
60,Iqbal Abdulla,49,48,153.2,"1,109",40,0,27.72,7.23,23,0,0,8.93
61,Shanthakumaran Sreesanth,44,44,146.4,"1,194",40,0,29.85,8.14,22,0,0,15.76
62,Mohammad Shami,51,49,172,"1,547",40,0,38.67,8.99,25.8,0,0,14.57
63,Parvinder Awana,33,33,124.3,"1,029",39,0,26.38,8.26,19.15,1,0,10.43
64,Andrew Tye,26,26,99,822,39,0,21.07,8.3,15.23,3,1,9.64
65,Kuldeep Yadav,40,39,137.2,"1,144",39,0,29.33,8.33,21.12,1,0,17.23
66,Shreyas Gopal,31,30,98.1,737,38,0,19.39,7.5,15.5,1,0,11.67
67,Moises Henriques,57,55,148.2,"1,244",38,0,32.73,8.38,23.42,0,0,13.45
68,Trent Boult,33,33,127.3,"1,120",38,0,29.47,8.78,20.13,0,0,16.89
69,Doug Bollinger,27,27,96,693,37,0,18.72,7.21,15.56,1,0,9.76
70,Manpreet Gony,44,44,148,"1,287",37,0,34.78,8.69,24,0,0,8.97
71,Yuvraj Singh,132,73,144.5,"1,077",36,0,29.91,7.43,24.13,2,0,10.76
72,Nathan Coulter-Nile,26,25,93.5,719,36,0,19.97,7.66,15.63,1,0,12.54
73,Shardul Thakur,36,35,117.5,"1,065",36,0,29.58,9.03,19.63,0,0,9.65
74,Pradeep Sangwan,39,39,133.4,"1,175",35,0,33.57,8.79,22.91,0,0,13.78
75,Mitchell Starc,27,26,96.4,693,34,0,20.38,7.16,17.05,1,0,16.89
76,Pawan Negi,50,42,119.2,939,34,0,27.61,7.86,21.05,1,0,11.47
77,Dan Christian,40,40,130.3,"1,037",34,0,30.5,7.94,23.02,0,0,14.89
78,Deepak Chahar,34,34,114.4,875,33,0,26.51,7.63,20.84,0,0,12.45
79,Kevon Cooper,25,25,96,757,33,0,22.93,7.88,17.45,1,0,9.45
80,Murali Kartik,56,55,191.3,"1,388",31,0,44.77,7.24,37.06,0,0,13.56
81,Kagiso Rabada,18,18,68.2,556,31,0,17.93,8.13,13.22,2,0,16.23
82,Thisara Perera,37,36,116.2,"1,016",31,0,32.77,8.73,22.51,0,0,10.45
83,Azhar Mahmood,23,23,89.3,700,29,0,24.13,7.82,18.51,0,0,12.78
84,Ajit Agarkar,42,42,130.2,"1,151",29,0,39.68,8.83,26.96,0,0,9.68
85,Daniel Vettori,34,34,129.3,879,28,0,31.39,6.78,27.75,0,0,14.76
86,Dirk Nannes,29,29,107.4,785,28,0,28.03,7.29,23.07,0,0,10.57
87,Pravin Tambe,33,33,110,853,28,0,30.46,7.75,23.57,1,0,11.23
88,Amit Singh,23,23,78.5,620,28,0,22.14,7.86,16.89,1,0,8.94
89,Tim Southee,40,40,148,"1,293",28,0,46.17,8.73,31.71,0,0,15.79
90,Mohammed Siraj,26,26,92.1,848,28,0,30.28,9.2,19.75,1,0,11.56
91,MF Maharoof,20,20,70,520,27,0,19.25,7.42,15.55,0,0,12.58
92,Angelo Mathews,49,44,131.5,"1,079",27,0,39.96,8.18,29.29,1,0,14.78
93,Wayne Parnell,26,26,95.2,701,26,0,26.96,7.35,22,0,0,12.89
94,Axar Rajesh Patel,26,26,97.4,726,26,0,27.92,7.44,22.54,0,0,11.36
95,RP Singh,82,82,295.5,"2,338",90,0,25.97,7.9,19.72,2,0,8.65
96,Pragyan Ojha,92,90,316.3,"2,332",89,0,26.2,7.36,21.33,0,0,12.46
97,Sidharth Kaul,45,45,163.3,"1,385",49,0,28.26,8.47,20.02,1,0,9.78
98,Shadab Jakati,59,57,180.5,"1,450",47,0,30.85,8.01,23.08,2,0,14.67
99,Anil Kumble,42,42,160.5,"1,058",45,0,23.51,6.57,21.44,2,1,12.35
100,Sreenath Aravind,38,38,126.4,"1,039",45,0,23.08,8.2,16.88,2,0,11.25
